Name,Keph level,Facility type,Owner,Regulatory_body,Beds,Cots,County,Constituency,Sub_county,Ward,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night
Jamii Medical and Diagnostic centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NYAMIRA,WEST MUGIRANGO,nyamira,TOWNSHIP,No,No,No,No
The Hope spring Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),1,0,MACHAKOS,MAVOKO,athi river,SYOKIMAU/MULOLONGO,No,Yes,Yes,No
Pioneer medical clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,KIAMBU,THIKA TOWN,thika town,KAMENU,No,No,No,No
kiganjo medical clinic,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,None,0,0,KIAMBU,THIKA TOWN,thika town,KAMENU,No,No,No,No
Emmanuel Medical Clinic,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,EMBU,MANYATTA,manyatta,RUGURU-NGANDORI,No,Yes,Yes,No
Korr Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,3,1,MARSABIT,LAISAMIS,laisamis,KORR/NGURUNIT,Yes,Yes,Yes,Yes
Liza Medical clinic,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),2,0,MIGORI,AWENDO,awendo sub county,SOUTH SAKWA,No,No,No,No
St. Lydia Okore Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Kenya MPDB - Institution,0,0,KISUMU,KISUMU CENTRAL,kisumu central,SHAURI MOYO KALOLENI,No,No,No,No
Kuoyo Health Center,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,1,0,KISUMU,KISUMU EAST,kisumu east,MANYATTA B,No,No,No,No
Inuka Medical Center,Level 2,Basic primary health care facility,Private Practice - General Practitioner,None,2,0,KISUMU,KISUMU CENTRAL,kisumu central,MARKET MILIMANI,No,No,Yes,No
Utugi Cfw Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,No,No,No,No
Outspan Hospital-Embu Medical Clinic,Level 2,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,No,No,Yes,No
Musikoma Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,2,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,No,Yes,Yes,No
Ndengelwa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE WEST,No,No,No,No
West Oljoroorok Medical Clinic,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,NYANDARUA,OLJOROOK,oljoroorok,GATHANJI,No,Yes,Yes,No
VINYUNDUNI DISPENSARY,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,KWALE,KINANGO,kinango,MACKINON ROAD,No,No,No,No
Timiza Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,MACHAKOS,MAVOKO,athi river,SYOKIMAU/MULOLONGO,No,No,Yes,No
St James Health Services Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MERU,CENTRAL IMENTI,imenti central,MWANGATHIA,No,No,No,No
Kaguma Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,CENTRAL IMENTI,imenti central,MWANGATHIA,No,No,No,No
Gitauga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,MERU,CENTRAL IMENTI,imenti central,ABOTHUGUCHI CENTRAL,No,No,No,No
Rays of Hope,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,None,0,0,MERU,CENTRAL IMENTI,imenti central,ABOTHUGUCHI WEST,No,No,No,No
Mikuyu Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MUA,No,No,No,No
RAPHA HOSPITAL -MAKUENI,Level 3,Primary care hospitals,Private Practice - General Practitioner,Kenya MPDB - Private Practice,10,4,MAKUENI,MAKUENI,makueni,WOTE,Yes,No,No,Yes
Mutuyu Dispensary,None,Basic primary health care facility,Ministry of Health,None,0,0,MACHAKOS,MACHAKOS TOWN,machakos,KALAMA,No,No,No,No
Ikulu Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MUVUTI/KIIMA-KIMWE,No,No,No,No
Kochieng Health Centre,Level 3,Basic primary health care facility,Ministry of Health,None,1,0,KISUMU,NYANDO,nyando,KOBURA,No,No,No,No
Syotuvali Dispensary,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,1,0,MAKUENI,MBOONI,mbooni,KALAWA,No,No,No,No
Beyond Zero mobile clinic(Trans-Nzoia county),Level 3,Comprehensive primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,KIMININI,kiminini,HOSPITAL,No,No,No,No
Garissa Beyond Zero Mobile Clinic,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,GARISSA,GARISSA TOWNSHIP,garissa,GALBET,No,No,Yes,No
Jubilee Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NYANDARUA,NDARAGWA,ndaragwa,KIRITTA,No,No,Yes,No
Kadhiambo dispensary,Level 2,Basic primary health care facility,Ministry of Health,Kenya MPDB - Institution,1,1,KISUMU,NYANDO,nyando,KABONYO/KANYAGWAI,No,Yes,Yes,Yes
MARY BALLARD COMMUNITY CLINIC,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,HOMA BAY,KASIPUL,kasipul,EAST KAMAGAK,No,No,No,No
TUIYOBEI AGC DISPENSARY,Level 2,Basic primary health care facility,Christian Health Association of Kenya,None,0,0,KERICHO,KIPKELION WEST,kipkelion west,KIPKELION,No,No,No,No
Bondo Awino,Level 2,Basic primary health care facility,Other Faith Based,Ministry of Health,0,0,HOMA BAY,KASIPUL,kasipul,CENTRAL KASIPUL,Yes,Yes,Yes,Yes
Beyond Zero Clinic Lamu,Level 2,Primary care hospitals,Ministry of Health,Ministry of Health,0,0,LAMU,LAMU WEST,lamu west,SHELLA,No,No,No,No
Gibea Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,"NAKURU",GILGIL,gilgil,MBARUK/EBURU,No,No,No,No
Imani Medical Centre Kiamunyi,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,"NAKURU",RONGAI,rongai,MENENGAI WEST,No,No,No,No
The Samari-Med,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Pharmacy & Poisons Board,0,0,HOMA BAY,HOMA BAY TOWN,homa bay town,HOMA BAY CENTRAL,No,No,No,No
Dr. Bashir,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,"NAIROBI",WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,No,No,No,No
Mary Magdaline Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,SAMBURU,SAMBURU NORTH,samburu north,ANGATA NAYOKIE,No,No,No,No
Dr. C.K Jandu,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,SAMBURU,SAMBURU NORTH,samburu north,BAAWA,No,No,No,No
Makadara Sub County  Office,Level 3,Administrative Offices,Ministry of Health,Kenya MPDB - Institution,4,1,"NAIROBI",MAKADARA,makadara,VIWANDANI,No,No,No,No
Charolyn Specialist Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,4,1,"NAIROBI",MAKADARA,makadara,MARINGO/HAMZA,No,No,No,No
Kisasi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BARINGO,MOGOTIO,mogotio,MOGOTIO,No,No,No,No
Development Pamoja Dispensary,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,TURKANA,LOIMA,loima,TURKWEL,No,No,No,No
"ST Faustine""s Health Services",Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,TONGAREN,tongaren,"NAITIRI/KABUYEFWE",No,No,No,No
Soliat Dispensary(Eldoret ),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,UASIN GISHU,AINABKOI,ainabkoi,AINABKOI/OLARE,No,No,No,No
Suva health services,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,KIAMBU,THIKA TOWN,thika town,KAMENU,No,No,No,No
Magogoni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,THIKA TOWN,thika town,NGOLIBA,No,No,No,No
Ngaru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,Nyeri South,nyeri south,CHINGA,No,No,No,No
Jirena Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Ministry of Health,0,0,MARSABIT,NORTH HORR,north horr,MAIKONA,No,No,No,No
Riziki Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KWALE,LUNGA LUNGA,lunga lunga,PONGWE/KIKOKENI,No,No,No,No
Tumaini Letu Health Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MACHAKOS CENTRAL,No,No,No,No
Kambu Life Care Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MAKUENI,KIBWEZI EAST,kibwezi east,IVINGONI/NZAMBANI,No,No,No,No
Olchorro Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,2,KAJIADO,KAJIADO SOUTH,loitokitok,ENTONET/LENKISM,No,No,No,No
Marie Stopes Kakamega Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,0,0,KAKAMEGA,LURAMBI,lurambi,SHEYWE,No,No,No,No
Lupe Medical Centre,Level 3,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Institution,30,30,KAKAMEGA,LURAMBI,lurambi,MAHIAKALO,No,No,No,No
Rehemah Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MERU,IGEMBE CENTRAL,igembe central,KANGETA,No,No,No,No
St. Joseph Medical Clinic-Kangundo,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MACHAKOS,KANGUNDO,kangundo,KANGUNDO NORTH,No,No,No,No
Mombasa Golden Care Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Institution,0,0,MOMBASA,KISAUNI,kisauni,MAGOGONI,No,No,No,No
Pankad Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,"NAKURU",GILGIL,gilgil,GILGIL,No,No,No,No
Robarisia Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,KURIA WEST,kuria west sub county,MASABA,No,No,No,No
Border View Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,MIGORI,KURIA WEST,kuria west sub county,ISIBANIA,No,No,No,No
Musunguti Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,VIHIGA,VIHIGA,vihiga,MUNGOMA,No,No,No,No
Narumoru Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,NYERI,KIENI,kieni east,GAKAWA,No,No,No,No
Mariira Community Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KIGUMO,kigumo,KANGARI,No,No,No,No
Aberdare Medical C.Ltd,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,MURANG'A,KIGUMO,kigumo,KANGARI,No,No,No,No
Kenneth Matiba Eye and Dental Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,0,0,MURANG'A,MARAGWA,maragwa,KIMORORI/WEMPA,No,No,No,No
Mukuyu Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,HOMA BAY,SUBA,suba,GWASSI NORTH,No,No,No,No
Kamsaki Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,3,2,MIGORI,URIRI,urir sub county,SOUTH KANYAMKAGO,No,No,No,No
PACE Dental Clinic,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Private Practice,0,0,NYANDARUA,OLJOROOK,oljoroorok,GATIMU,No,No,No,No
Bahati Medical Clinic(Nyandarua),Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NYANDARUA,OLJOROOK,oljoroorok,GATIMU,No,No,No,No
Nyandarua Prisons Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYANDARUA,OLJOROOK,oljoroorok,GATIMU,No,No,No,No
Laikipia Medical Laboratory,Level 2,Laboratory,Private Practice - General Practitioner,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,LAIKIPIA,LAIKIPIA EAST,laikipia east,"NANYUKI",No,No,No,No
Lukhokhwe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,MILIMA,No,No,No,No
Tumaini Brigadier Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),8,4,BUNGOMA,TONGAREN,tongaren,MBAKALO,No,No,No,No
Impact RDO Clinic-Nyatike,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,2,2,MIGORI,NYATIKE,nyatike sub county,KACHIEN'G,No,No,No,No
Beyond Zero Nyandarua,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,NYANDARUA,OL KALOU,olkalou,KARAU,No,No,No,No
St. Teresa Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Ministry of Health,0,0,NYANDARUA,OL KALOU,olkalou,KARAU,No,No,No,No
Roman Maternity and Nursing Home,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,20,4,NYAMIRA,KITUTU MASABA,manga,MAGOMBO,No,No,No,No
Charity Medical Clinic ( Nyandarua),Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,RUMURUTI TOWNSHIP,No,No,No,No
Kanga Onditi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MIGORI,NYATIKE,nyatike sub county,GOT KACHOLA,No,No,No,No
Nakapelewoi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,2,TURKANA,TURKANA NORTH,turkana north,KAALENG/KAIKOR,No,No,No,No
Ekicheles Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,2,TURKANA,TURKANA NORTH,kibish,KIBISH,No,No,No,No
Brisil Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MOMBASA,NYALI,nyali,ZIWA LA NG'OMBE,No,No,No,No
St Michael Medical Clinic-Nyali,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MOMBASA,NYALI,nyali,ZIWA LA NG'OMBE,No,No,No,No
Tsavo Clinic,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,TAITA TAVETA,VOI,voi,MARUNGU,No,No,No,No
Lulis Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MANDERA,BANISSA,banissa,BANISSA,No,No,No,No
Choroko Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MANDERA,BANISSA,banissa,GUBA,No,No,No,No
Birkan Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MANDERA,BANISSA,banissa,KILWEHIRI,No,No,No,No
Embu County Beyond Zero Clinic,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,1,1,EMBU,MANYATTA,manyatta,KIRIMARI,No,No,No,No
Fina Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Ministry of Health,4,0,KAKAMEGA,MUMIAS WEST,mumias west,MUMIAS CENTRAL,No,No,No,No
Oneno  Nam,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,KARACHUONYO,karachuonyo,NORTH KARACHUONYO,No,No,No,No
Kapseret Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,2,2,UASIN GISHU,KAPSERET,kapseret,SIMAT/KAPSERET,No,No,No,No
Emurua Dikirr VCT Stand Alone,Level 2,VCT,Non-Governmental Organizations,Ministry of Health,0,0,"NAROK",EMURUA DIKIRR,transmara east,KAPSASIAN,No,No,No,No
ACK Ikulu Faith Dispensary,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Pharmacy & Poisons Board,0,0,MACHAKOS,KANGUNDO,kangundo,KANGUNDO NORTH,No,No,No,No
Open Heart Medical Centre,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Private Practice,0,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,No,No,No,No
Nyamira County Beyond Zero Clinic,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,1,1,NYAMIRA,WEST MUGIRANGO,nyamira,TOWNSHIP,No,No,No,No
Lokichar Sub County Hospital,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,32,2,TURKANA,TURKANA SOUTH,turkana south,LOKICHAR,No,No,No,No
Kakuma Sub County Hospital,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,2,1,TURKANA,TURKANA WEST,turkana west,KAKUMA,No,No,No,No
Kericho Out Patient Medical Centre,Level 3,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,No,No,No,No
Fig Tree Health Options-Kericho,Level 3,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,No,No,No,No
Nina Slopes Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),0,0,EMBU,MANYATTA,manyatta,NGINDA,No,No,No,No
Mukende Health Centre,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,3,2,HOMA BAY,SUBA,suba,KAKSINGIRI WEST,No,No,No,No
Olchoro Oirowa,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,1,"NAROK","NAROK WEST",narok west,MARA,No,No,No,No
Ilmotiok,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,3,"NAROK","NAROK WEST",narok west,MARA,No,No,No,No
Iloirero Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,2,KAJIADO,KAJIADO SOUTH,loitokitok,IMBRIKANI/ESELELNKEI,No,No,No,No
Babito Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),4,2,KAJIADO,KAJIADO SOUTH,loitokitok,KUKU,No,No,No,No
Luciuti Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE NORTH,igembe north,ANTUBETWE KIONGO,No,No,No,No
Karuko Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,TURKANA,TURKANA EAST,turkana east,LOKORI/KOCHODIN,No,No,No,No
Maggy star and sons clinic Lokori,None,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA EAST,turkana east,LOKORI/KOCHODIN,No,No,No,No
Komwaga Health Center,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KISUMU,NYANDO,nyando,KABONYO/KANYAGWAI,No,No,No,No
Lwako Ubuntu Afya Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,1,1,SIAYA,RARIEDA,rarieda,WEST ASEMBO,No,No,No,No
Barani Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KILIFI,MALINDI,malindi,SHELLA,No,No,No,No
Cheboror Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,BOMET EAST,bomet east,KIPRERES,No,No,No,No
Chemengwa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,BOMET EAST,bomet east,KEMBU,No,No,No,No
Kakimirai Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,BOMET EAST,bomet east,CHEMANER,No,No,No,No
Cheboin Dispensary (Bomet),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,BOMET EAST,bomet east,LONGISA,No,No,No,No
Kwetu Home Of Peace Dispensary(Ruai),Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,"NAIROBI",KASARANI,kasarani,RUAI,No,No,No,No
Heri Wema Health Centre (Ruai),Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,"NAIROBI",KASARANI,kasarani,RUAI,No,No,No,No
Adopta Life Foundation (Ruai),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Nursing Council of Kenya (Private Practice),0,0,"NAIROBI",KASARANI,kasarani,RUAI,No,No,No,No
Aga Khan University Hospital(Njiru),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,"NAIROBI",KASARANI,kasarani,RUAI,No,No,No,No
Imara Mediplus Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,No,No,No,No
Bomet GK Prison Dispensary,Level 2,VCT,Ministry of Health,Ministry of Health,0,0,BOMET,BOMET CENTRAL,bomet central,SILIBWET TOWNSHIP,No,No,No,No
Good Shepherd Medical Centre,Level 3,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),10,1,BOMET,BOMET CENTRAL,bomet central,SILIBWET TOWNSHIP,No,No,No,No
Gachui Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,"NAIROBI",DAGORETTI SOUTH,dagoretti south,UTHIRU/RUTHIMITU,No,No,No,No
Refuge Point International,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,"NAIROBI",DAGORETTI NORTH,dagoretti north,KILIMANI,No,No,No,No
Avenue House Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,1,"NAIROBI",DAGORETTI NORTH,dagoretti north,KILIMANI,No,No,No,No
Family Health Options Kenya,Level 3,Basic primary health care facility,Non-Governmental Organizations,Kenya MPDB - Institution,3,0,KAJIADO,KAJIADO EAST,kajiado east,KAPUTIEI NORTH,No,No,No,No
Nairobi Women's Kitengela,Level 3,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Institution,31,5,KAJIADO,KAJIADO EAST,kajiado east,KAPUTIEI NORTH,No,No,No,No
Nyamadede Community Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,SUBA,suba,GWASSI NORTH,No,No,No,No
The Zambezi Hospital Limited,Level 3,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Institution,15,0,"NAIROBI",LANGATA,langata,KAREN,No,No,No,No
Wapate initiative centre,Level 2,VCT,Ministry of Health,Other,0,0,KIAMBU,THIKA TOWN,thika town,KAMENU,No,No,No,No
Pamoja Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Ministry of Health,8,0,SIAYA,UGUNJA,ugunja,SIDINDI,No,No,No,No
Vision Medical Clinic- Esibuye,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,2,0,VIHIGA,EMUHAYA,emuhaya,NORTH EAST BUNYORE,No,No,No,No
Fame Outreach Rescue Clinic,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,KITUI,MWINGI CENTRAL,mwingi central,NGUNI,No,No,No,No
ST. Mark Ndutumi (ACK) Dispensary,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,0,0,MURANG'A,KIHARU,kiharu,WANGU,No,No,No,No
Hekima Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,"NAIROBI",ROYSAMBU,roysambu,GITHURAI,No,No,No,No
Lolwe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,SEME,seme,CENTRAL SEME,No,No,No,No
Opemble Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,SUBA,suba,GWASSI NORTH,No,No,No,No
Mayanja St. Pauls Medical Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,4,0,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,No,No,No,No
St.Anne Medical Clinic (Ndumberi ),Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIAMBU,KIAMBU,kiambu town,NDUMBERI,No,No,No,No
Naibor Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA NORTH,laikipia north,SEGERA,No,No,No,No
Magao Dispesnsary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,1,HOMA BAY,KARACHUONYO,karachuonyo,CENTRAL,No,No,No,No
